食物名稱,顏色,六大類,100g面積(cm^2),熱量(kcal),糖質總量(g),粗脂肪(g),粗蛋白(g),水分(kg),鉀(g),磷(g),維生素A總量(mg),維生素D總量(ug),維生素E總量(mg),維生素K1(mg),維生素K2 (MK-4)(ug),維生素K2 (MK-7)(ug),,每單位重(g)
candy,"(180, 120, 120)",7,100,387,99.9,0,0,0.0001,0,0.001,0,0,0,0,0,0,,100
egg tart,"(6, 230, 230)",3,100,587.5,31.40625,33.90625,6.40625,0.050625,0.18125,0.240625,0.313438438,0,5.203125,0,0,0,,64
french fries,"(80, 50, 50)",5,100,279.5732308,26,10,2.769230769,0.095230769,0.590769231,0.069230769,0,0,5.969230769,0,0,0,,65
chocolate,"(4, 200, 3)",7,100,5460,519,326,94,0.016,7.57,3.87,0.12012012,0,30.7,0,0,0,,10
biscuit,"(120, 120, 80)",7,100,509,14,24.1,7.1,0.0023,0.098,0.066,0.045045045,0,0.83,0,0,0,,100
popcorn,"(140, 140, 140)",7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,,100
pudding,"(204, 5, 255)",7,100,109.5238095,10.55555556,5.634920635,3.73015873,0.058492063,0.107142857,0.092857143,0.033128366,0,0.579365079,0,0,0,,126
ice cream,"(230, 230, 230)",7,100,192,16.8,10.6,4.2,0.0642,0.288,0.104,0,0,0.23,0,0,0,,100
cheese butter,"(4, 250, 7)",2,90,1404.545455,7.727272727,107.7272727,83.18181818,0.214545455,0.318181818,1.963636364,1.461916462,0,4.090909091,0,0,0,,22
cake,"(224, 5, 255)",7,100,80,3.702702703,5.756756757,1.891891892,0.014,0.035945946,0.037567568,0.070611152,0,0.240540541,0,0,0,,370
wine,"(235, 255, 7)",7,100,49.5288,0,0,0.389,0.0912,0.04341,0.02781,0,0,0.18,0,0,0,,100
milkshake,"(150, 5, 61)",4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,,100
coffee,"(120, 120, 70)",7,100,2,0,0.1,0.2,0.0993,0.062,0.004,0,0,0.03,0,0,0,,100
juice,"(8, 255, 51)",6,100,73,0,0.4,0.9,0.0796,0.239,0.027,0.103003003,0,0.41,0,0,0,,100
milk,"(255, 6, 82)",4,100,63,4.4,3.6,3.1,0.0879,0.147,0.083,0.042942943,0,0.08,0.00165,1.65,0,,100
tea,"(143, 255, 140)",7,100,18,0,0,0,0.0955,0.009,0.006,0,0,0,0,0,0,,100
almond,"(204, 255, 4)",2,100,386.25,0,35.5625,14.625,0.001875,0.038125,0.259375,0.015953453,0,7.625,0,0,0,,160
red beans,"(255, 51, 7)",5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,,100
cashew,"(204, 70, 3)",2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,,100
dried cranberries,"(0, 102, 200)",6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,,100
soy,"(61, 230, 250)",1,100,23.62204724,2.007874016,0.511811024,1.25984252,0.033976378,0.03503937,0.016929134,0,0,0.291338583,0,0,0,,254
walnut,"(255, 6, 51)",1,100,667,1.8,67.9,15.4,0.0037,0.453,0.44,0.005705706,0,20.72,0,0,0,,100
peanut,"(11, 102, 255)",1,100,362.3376623,2.922077922,29.48051948,18.7012987,0.002727273,0.428571429,0.299350649,0,0,9.480519481,0,0,0,,154
egg,"(255, 7, 71)",3,60.3,252.3364486,0.373831776,16.63551402,23.73831776,0.141869159,0.252336449,0.347663551,0.313210407,3.943925234,4.14953271,0.034953271,34.95327103,0,,53.5
apple,"(255, 9, 224)",6,100,35.63636364,8.436363636,0.145454545,0.218181818,0.062763636,0.082181818,0.008,0.200709801,0,0.050909091,0,0,0,,137.5
date,"(9, 7, 230)",6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,,100
apricot,"(220, 220, 220)",6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,,100
avocado,"(255, 9, 92)",5,100,20.90032154,0.289389068,1.189710611,0.514469453,0.027684887,0.080707396,0.010610932,0.040941263,0,0.443729904,0,0,0,,311
banana,"(112, 9, 255)",6,100,68.10897436,14.42307692,0.080128205,1.201923077,0.060657051,0.294871795,0.018429487,0.000721876,0,0.240384615,0,0,0,,124.8
strawberry,"(8, 255, 214)",6,100,260,40.66666667,1.333333333,6.666666667,0.593333333,1.326666667,0.153333333,0.05005005,0,3.2,0,0,0,,15
cherry,"(7, 255, 224)",6,100,937.5,0,3.75,15,0.985,2.95,0.2875,0.075075075,0,1.625,0,0,0,,8
blueberry,"(255, 184, 6)",6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,,100
raspberry,"(10, 255, 71)",6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,,100
